iter	Passed	Remaining
417	2759	3841
418	2765	3834
419	2772	3828
420	2778	3821
421	2785	3814
422	2792	3808
423	2798	3802
424	2805	3795
425	2811	3788
426	2818	3781
427	2827	3778
428	2833	3772
429	2842	3768
430	2849	3762
431	2857	3756
432	2863	3749
433	2870	3744
434	2877	3737
435	2884	3730
436	2890	3724
437	2897	3717
438	2904	3711
439	2910	3704
440	2917	3697
441	2923	3691
442	2930	3684
443	2936	3677
444	2943	3670
445	2949	3663
446	2956	3657
447	2962	3650
448	2969	3643
449	2976	3637
450	2982	3630
451	2988	3623
452	2995	3616
453	3002	3610
454	3008	3604
455	3015	3597
456	3030	3600
457	3037	3594
458	3044	3588
459	3051	3581
460	3057	3574
461	3063	3567
462	3070	3561
463	3076	3554
464	3083	3547
465	3089	3540
466	3096	3533
467	3102	3527
468	3109	3520
469	3116	3513
470	3122	3507
471	3129	3500
472	3135	3493
473	3142	3487
474	3149	3480
475	3155	3473
476	3161	3466
477	3168	3460
478	3174	3452
479	3181	3446
480	3187	3439
481	3194	3432
482	3200	3426
483	3207	3419
484	3213	3412
485	3220	3405
486	3226	3398
487	3233	3392
488	3239	3385
489	3246	3378
490	3252	3371
491	3258	3364
492	3265	3358
493	3271	3351
494	3278	3344
495	3285	3338
496	3291	3331
497	3297	3324
498	3304	3317
499	3310	3310
