iter	MultiClass
0	1.619624919
1	1.35285562
2	1.171695329
3	1.033391846
4	0.9262604613
5	0.8375648551
6	0.7648960691
7	0.7024267353
8	0.6497531853
9	0.6048987831
10	0.5676529302
11	0.534774231
12	0.5059919674
13	0.4790591227
14	0.4562501443
15	0.4357241016
16	0.4170456029
17	0.4022543235
18	0.3877034357
19	0.374484222
20	0.3628814731
21	0.3522938499
22	0.3433782892
23	0.3348011652
24	0.3276730929
25	0.3211517205
26	0.3149702912
27	0.3099215181
28	0.3056081611
29	0.3013466765
30	0.298124935
31	0.2949134076
32	0.2915179916
33	0.2885931392
34	0.2859041463
35	0.2837291955
36	0.281607005
37	0.2797134092
38	0.2779035135
39	0.2766367698
40	0.2754093346
41	0.2741812449
42	0.2728009653
43	0.2716943381
44	0.2708193243
45	0.2694733232
46	0.2687273661
47	0.2674957305
48	0.2663505531
49	0.2653501069
50	0.2646119415
51	0.2637221258
52	0.2631187253
53	0.2624571042
54	0.2615879722
55	0.2608336157
56	0.2600372548
57	0.2592216878
58	0.258584362
59	0.2577211241
60	0.2569811361
61	0.2564528505
62	0.2558237954
63	0.2550856151
64	0.2541869965
65	0.2534726935
66	0.2527223568
67	0.2520947487
68	0.2512707779
69	0.2506806525
70	0.2500849098
71	0.2494880823
72	0.2487100452
73	0.2483790152
74	0.2478527718
75	0.2473480816
76	0.2464952173
77	0.2459585538
78	0.245377206
79	0.2446761985
80	0.2441858456
81	0.243684725
82	0.2432122751
83	0.2427657055
84	0.242143072
85	0.2416585961
86	0.2410855322
87	0.2406471992
88	0.2401717593
89	0.2392184871
90	0.2387644626
91	0.2384068533
92	0.2379316726
93	0.2373418126
94	0.2367866574
95	0.2362401872
96	0.2358730425
97	0.2352310374
98	0.2349043473
99	0.2345087006
100	0.2342099059
101	0.2338913008
102	0.2337039874
103	0.233309492
104	0.2330310686
105	0.2324366807
106	0.2322041443
107	0.2318607512
108	0.2314283133
109	0.2310436082
110	0.2307325272
111	0.2302868683
112	0.2299928852
113	0.2296353564
114	0.2293249737
115	0.2290473122
116	0.2286560906
117	0.2281947838
118	0.2279681553
119	0.2275729253
120	0.2272381703
121	0.226914453
122	0.22667522
123	0.2264306109
124	0.2261731846
125	0.225558856
126	0.2252999382
127	0.2249843184
128	0.2246381525
129	0.2243096036
130	0.2238399825
131	0.2236103481
132	0.2231973097
133	0.2227945784
134	0.2224131385
135	0.2218479814
136	0.221419606
137	0.2212096634
138	0.2209013525
139	0.2205712274
140	0.2203911251
141	0.2201763376
142	0.2196968574
143	0.219466664
144	0.2190175507
145	0.2187287909
146	0.2183645956
147	0.2179939333
148	0.2177479561
149	0.2173603928
150	0.2170517074
151	0.216833189
152	0.2165504665
153	0.2160091089
154	0.2156713988
155	0.2153932809
156	0.2150228196
157	0.2146058173
158	0.2141996272
159	0.2136314824
160	0.2132751415
161	0.2130528955
162	0.2127314314
163	0.212337984
164	0.2120582748
165	0.2118490354
166	0.2115279175
167	0.2112858665
168	0.2110459019
169	0.2106089218
170	0.2103657364
171	0.2102650655
172	0.2100265309
173	0.2097407529
174	0.209463691
175	0.2091740256
176	0.2087973135
177	0.2082834668
178	0.2080554904
179	0.2076186139
180	0.2073524125
181	0.2069757373
182	0.2067414548
183	0.2065676412
184	0.2064190252
185	0.2061578802
186	0.2056797746
187	0.2054567474
188	0.205143182
189	0.2048252183
190	0.2045095147
191	0.2042955332
192	0.2038999785
193	0.20377329
194	0.2035164974
195	0.2030355344
196	0.2027799357
197	0.2026449168
198	0.2023498702
199	0.2020209976
200	0.2017206671
201	0.2013912406
202	0.2010121535
203	0.2007259789
204	0.2003879332
205	0.1999042343
206	0.1996649858
207	0.1993920892
208	0.1992126064
