iter	MultiClass
209	0.198829274
210	0.1985510476
211	0.1981558315
212	0.1978421377
213	0.1975651965
214	0.1972492209
215	0.196938861
216	0.1967261807
217	0.1965590767
218	0.1961566366
219	0.1957050007
220	0.1954359219
221	0.1951477241
222	0.1949585801
223	0.1947018631
224	0.1944618775
225	0.1942628906
226	0.194038743
227	0.1938728726
228	0.1935206367
229	0.1933046977
230	0.1931349166
231	0.1929032845
232	0.1925305656
233	0.1922269963
234	0.1919745477
235	0.1917211821
236	0.1913614897
237	0.1911740753
238	0.1909106827
239	0.190759727
240	0.1905432389
241	0.1903359963
242	0.1900423922
243	0.1897704229
244	0.1893600496
245	0.1890304049
246	0.188703363
247	0.1882620638
248	0.1880918917
249	0.1879382518
250	0.1876802061
251	0.1873326512
252	0.1871447833
253	0.1868320496
254	0.1866322341
255	0.1864001285
256	0.1860487065
257	0.1856199613
258	0.1852999753
259	0.1848466435
260	0.1847143402
261	0.1843289998
262	0.1841311464
263	0.1839590698
264	0.1837323138
265	0.1833567855
266	0.1830446317
267	0.1828664633
268	0.1825846425
269	0.1824074126
270	0.1819554764
271	0.1816537002
272	0.1813664166
273	0.1810241874
274	0.1809137804
275	0.1806934621
276	0.180258695
277	0.1800950038
278	0.179756988
279	0.1796182481
280	0.1794440092
281	0.179146906
282	0.1788095909
283	0.178455546
284	0.1781860538
285	0.1779079299
286	0.1777529812
287	0.1776030031
288	0.1773732768
289	0.1772285909
290	0.1770075077
291	0.1768126954
292	0.176666764
293	0.1763763702
294	0.1761851082
295	0.1760185173
296	0.1757638999
297	0.1755671097
298	0.1753596642
299	0.1750246839
300	0.1747104692
301	0.1743992476
302	0.1741279314
303	0.1739273876
304	0.1737518317
305	0.1734964763
306	0.1732305329
307	0.1728853699
308	0.1726896089
309	0.1725056328
310	0.1721742497
311	0.1720457563
312	0.1718927786
313	0.1715547397
314	0.1713997889
315	0.1711558918
316	0.1709410675
317	0.1706380773
318	0.1704568422
319	0.1702740852
320	0.1699232035
321	0.1697308267
322	0.1695233961
323	0.1692724922
324	0.1690371814
325	0.1689278171
326	0.1687127815
327	0.1684206334
328	0.1681148096
329	0.1678355446
330	0.1676148023
331	0.1674615083
332	0.1671769904
333	0.1669502583
334	0.1667064189
335	0.1665066354
336	0.1663669528
337	0.1660949992
338	0.1657449882
339	0.1655839935
340	0.1654232453
341	0.1652212958
342	0.1650802538
343	0.1646164745
344	0.1643864836
345	0.1641221385
346	0.1638612037
347	0.1636038206
348	0.1633219141
349	0.1632319087
350	0.1630048573
351	0.1627445099
352	0.162593017
353	0.1623587196
354	0.1621043889
355	0.1618971441
356	0.1616392633
357	0.1614149728
358	0.1611817414
359	0.1610595284
360	0.1607854325
361	0.1604144076
362	0.1601103323
363	0.1598560843
364	0.1596148088
365	0.1594469239
366	0.1591960675
367	0.1588660448
368	0.1587644137
369	0.1584962786
370	0.158269502
371	0.1581058204
372	0.157907928
373	0.1576776491
374	0.1574039806
375	0.1571900734
376	0.1570080246
377	0.156781826
378	0.1563860274
379	0.1562266414
380	0.1560077279
381	0.1557098537
382	0.1554553933
383	0.1551656432
384	0.1550262727
385	0.1548494068
386	0.1546855815
387	0.1544825322
388	0.1541535798
389	0.1538938424
390	0.1537463687
391	0.1535324156
392	0.1533625355
393	0.1531251544
394	0.1528662285
395	0.1527357058
396	0.1525854674
397	0.1524565606
398	0.1522598784
399	0.1521230284
400	0.151885744
401	0.15168765
402	0.1515009022
403	0.1512491308
404	0.1510602041
405	0.150833548
406	0.150529
407	0.1502837361
408	0.1500671214
409	0.1498504541
410	0.1497565593
411	0.1495891883
412	0.1494498609
413	0.1492877946
414	0.1490272848
415	0.148899292
416	0.1486712985
417	0.1486309776
418	0.1483453852
419	0.1482038554
420	0.1480635318
421	0.1478584052
422	0.1476698742
423	0.1474272963
424	0.1472718653
425	0.147048517
426	0.1468617389
427	0.1467803222
428	0.146549848
429	0.1463822794
430	0.1461432186
431	0.1460491677
432	0.1458164033
433	0.1456239584
434	0.1454962018
435	0.1452857293
436	0.1450768066
437	0.1448464123
438	0.1447138767
439	0.1444850082
440	0.1443426335
441	0.1441834122
442	0.1439676078
443	0.1438133294
444	0.1435821664
445	0.1434475051
446	0.1432919491
447	0.1431001616
448	0.1428097225
449	0.1425719411
450	0.1423434773
451	0.1421591044
452	0.1419603134
453	0.1417324723
454	0.1415966703
455	0.141435988
456	0.1412364472
457	0.1409576753
458	0.1408330855
459	0.140521707
460	0.1403312447
461	0.1401664309
462	0.1398462977
463	0.1396370532
464	0.1393807999
465	0.1391510294
466	0.1390034518
467	0.1388570596
468	0.1386581675
469	0.1384721194
470	0.138138413
471	0.1379724157
472	0.1377947886
473	0.1376224101
474	0.1374409728
475	0.1372848008
476	0.1371235985
477	0.1369309533
478	0.1367080247
479	0.1365972262
480	0.1362352454
481	0.1360945295
482	0.1359630354
483	0.1357475206
484	0.1355770729
485	0.135527219
486	0.1352196814
487	0.1350890747
488	0.1349002889
489	0.13461692
490	0.1344490644
491	0.1343231087
492	0.1340602576
493	0.133908389
494	0.1337252182
495	0.1335436769
496	0.1333218004
497	0.1331518962
498	0.1330776139
499	0.1329368455
